url	Project	Assembly	Type	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment	name	color	altColor
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e3d5b1d6-b107-41cb-8a87-822ce1d5b0db/4DNFIIAPVFRU.bed.gz	4DN	GRCh38	boundaries	HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G)	Arima - A1, A2	merged replicates	Hi-C on HCT116		Jennifer Cremins, UPENN	Emerson DJ et al. (2022) PMID:35676475	4DNFIIAPVFRU	DNES1JP4KZ1	boundaries for HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G) in situ Hi-C Arima - A1, A2	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/60a1b5e1-b55a-4c40-9731-fa60c5abf48d/4DNFICNTJ7YT.bw	4DN	GRCh38	insulation score-diamond	HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G)	Arima - A1, A2	merged replicates	Hi-C on HCT116		Jennifer Cremins, UPENN	Emerson DJ et al. (2022) PMID:35676475	4DNFICNTJ7YT	DNES1JP4KZ1	insulation score-diamond for HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G) in situ Hi-C Arima - A1, A2	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/5e4a954a-2cd0-4d5d-99c4-7b5414daed52/4DNFI4LVI935.bw	4DN	GRCh38	compartments	HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G)	Arima - A1, A2	merged replicates	Hi-C on HCT116		Jennifer Cremins, UPENN	Emerson DJ et al. (2022) PMID:35676475	4DNFI4LVI935	DNES1JP4KZ1	compartments for HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G) in situ Hi-C Arima - A1, A2	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/cdd45ad0-e089-4879-a89a-9a488657dad6/4DNFIG49IPR6.bed.gz	4DN	GRCh38	boundaries	HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G)	Arima - A1, A2	merged replicates	Hi-C on HCT116		Jennifer Cremins, UPENN	Emerson DJ et al. (2022) PMID:35676475	4DNFIG49IPR6	DNESNSTBMBY	boundaries for HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G) in situ Hi-C Arima - A1, A2	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/df1d1612-3f0c-41aa-a2d7-23405d31bf26/4DNFIWTWQ8GQ.bw	4DN	GRCh38	insulation score-diamond	HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G)	Arima - A1, A2	merged replicates	Hi-C on HCT116		Jennifer Cremins, UPENN	Emerson DJ et al. (2022) PMID:35676475	4DNFIWTWQ8GQ	DNESNSTBMBY	insulation score-diamond for HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G) in situ Hi-C Arima - A1, A2	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4870a162-3b31-4f86-adca-f323d8b06404/4DNFIPPNYV71.bw	4DN	GRCh38	compartments	HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G)	Arima - A1, A2	merged replicates	Hi-C on HCT116		Jennifer Cremins, UPENN	Emerson DJ et al. (2022) PMID:35676475	4DNFIPPNYV71	DNESNSTBMBY	compartments for HCT116 with Crispr generated mClover and AID-tagged WAPL, AAVS1-OsTIR1(F74G) in situ Hi-C Arima - A1, A2	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a7350d32-5b01-4ddd-81b4-b95d5d53ed5b/4DNFIR46OZ74.bed.gz	4DN	GRCh38	boundaries	H1-hESC (Tier 1)	Arima - A1, A2	merged replicates	Hi-C on H1 cells		Sheng Zhong, UCSD	Calandrelli R et al. (2022) doi:10.1101/2021.06.10.447969	4DNFIR46OZ74	DNES4AABNEZ	boundaries for H1-hESC (Tier 1) in situ Hi-C Arima - A1, A2	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d8bd1795-01b2-40ff-9e18-06c30c6965b2/4DNFIYNIYV2L.bw	4DN	GRCh38	insulation score-diamond	H1-hESC (Tier 1)	Arima - A1, A2	merged replicates	Hi-C on H1 cells		Sheng Zhong, UCSD	Calandrelli R et al. (2022) doi:10.1101/2021.06.10.447969	4DNFIYNIYV2L	DNES4AABNEZ	insulation score-diamond for H1-hESC (Tier 1) in situ Hi-C Arima - A1, A2	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3bf7742f-1a7f-466f-8272-c8ac1ddd5846/4DNFIREGLXS7.bw	4DN	GRCh38	compartments	H1-hESC (Tier 1)	Arima - A1, A2	merged replicates	Hi-C on H1 cells		Sheng Zhong, UCSD	Calandrelli R et al. (2022) doi:10.1101/2021.06.10.447969	4DNFIREGLXS7	DNES4AABNEZ	compartments for H1-hESC (Tier 1) in situ Hi-C Arima - A1, A2	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/aba6898d-740d-42b3-bcf9-737d73ec93f3/4DNFI7XM8Y7T.bed.gz	4DN	GRCh38	boundaries	H1-hESC (Tier 1)	Arima - A1, A2	merged replicates	Hi-C on H1 cells		Sheng Zhong, UCSD	Calandrelli R et al. (2022) doi:10.1101/2021.06.10.447969	4DNFI7XM8Y7T	DNES65I3RQG	boundaries for H1-hESC (Tier 1) in situ Hi-C Arima - A1, A2	rgb(0, 150, 0)	rgb(0, 150, 0)
