url	Project	Assembly	Type	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment	name	color	altColor
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d32fa5cb-d07c-4c49-a979-847f380a9f0b/4DNFIZDHT51M.bw	External	GRCm38	insulation score-diamond	Sertoli cell	Arima - A1, A2	merged replicates	Hi-C on mouse somatic gonadal cells		David Zarkower, UMN	Lindeman RE et al. (2021) PMID:34096593	4DNFIZDHT51M	DNES265ETYQ	insulation score-diamond for Sertoli cell in situ Hi-C Arima - A1, A2	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c98952c5-9872-488e-9f3f-7a699bf0891e/4DNFIKPHXAGA.bw	External	GRCm38	compartments	Sertoli cell	Arima - A1, A2	merged replicates	Hi-C on mouse somatic gonadal cells		David Zarkower, UMN	Lindeman RE et al. (2021) PMID:34096593	4DNFIKPHXAGA	DNES265ETYQ	compartments for Sertoli cell in situ Hi-C Arima - A1, A2	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/62b64107-a6f9-4a01-a1b0-dd5387d0042d/4DNFIWX6RNFM.bed.gz	External	GRCm38	boundaries	Sertoli cell	Arima - A1, A2	merged replicates	Hi-C on mouse somatic gonadal cells		David Zarkower, UMN	Lindeman RE et al. (2021) PMID:34096593	4DNFIWX6RNFM	DNES265ETYQ	boundaries for Sertoli cell in situ Hi-C Arima - A1, A2	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/88e1d2ad-4d59-4c6f-9793-4fd8afc74762/4DNFI65DQZJ7.bw	External	GRCm38	insulation score-diamond	granulosa cell	Arima - A1, A2	merged replicates	Hi-C on mouse somatic gonadal cells		David Zarkower, UMN	Lindeman RE et al. (2021) PMID:34096593	4DNFI65DQZJ7	DNESSS7VU57	insulation score-diamond for granulosa cell in situ Hi-C Arima - A1, A2	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2a29eec0-f551-4d50-8c0a-f4d4c2acd0db/4DNFIV519AWN.bed.gz	External	GRCm38	boundaries	granulosa cell	Arima - A1, A2	merged replicates	Hi-C on mouse somatic gonadal cells		David Zarkower, UMN	Lindeman RE et al. (2021) PMID:34096593	4DNFIV519AWN	DNESSS7VU57	boundaries for granulosa cell in situ Hi-C Arima - A1, A2	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/cb654039-c8e4-451a-9f4d-47f9e4aa9e76/4DNFI9O5P185.bed.gz	4DN	GRCm38	boundaries	F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE	MboI	merged replicates	Hi-C on Sox2 tagged F123 cells		Bing Ren, UCSD	Huang H et al. (2021) PMID:34002095	4DNFI9O5P185	DNESCTYU1WN	boundaries for F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0277dfc4-f76b-4602-8ace-67edc9e19cd1/4DNFI5FN1RZF.bw	4DN	GRCm38	insulation score-diamond	F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE	MboI	merged replicates	Hi-C on Sox2 tagged F123 cells		Bing Ren, UCSD	Huang H et al. (2021) PMID:34002095	4DNFI5FN1RZF	DNESCTYU1WN	insulation score-diamond for F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE in situ Hi-C MboI	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b383fc0c-2dab-44fc-9648-ba29e617a5f9/4DNFIWF11X56.bw	4DN	GRCm38	compartments	F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE	MboI	merged replicates	Hi-C on Sox2 tagged F123 cells		Bing Ren, UCSD	Huang H et al. (2021) PMID:34002095	4DNFIWF11X56	DNESCTYU1WN	compartments for F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/321cf6d0-91b0-414d-bab0-0f5f1df284db/4DNFICZHJYZ3.bed.gz	4DN	GRCm38	boundaries	F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE	MboI	merged replicates	Hi-C on Sox2 tagged F123 cells		Bing Ren, UCSD	Huang H et al. (2021) PMID:34002095	4DNFICZHJYZ3	DNES2Y6YG9E	boundaries for F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/16486a33-24c5-4049-9d78-57d40c4d7234/4DNFI41S78WL.bw	4DN	GRCm38	insulation score-diamond	F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE	MboI	merged replicates	Hi-C on Sox2 tagged F123 cells		Bing Ren, UCSD	Huang H et al. (2021) PMID:34002095	4DNFI41S78WL	DNES2Y6YG9E	insulation score-diamond for F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE in situ Hi-C MboI	rgb(3,127,252)	rgb(11,177,250)
