url	Project	Assembly	Type	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment	name	color	altColor
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3023b19a-bf4b-4276-be35-014823de5ca0/4DNFIBSCL9K3.bed.gz	4DN	GRCz11	boundaries	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIBSCL9K3	DNESV5PGOUC	boundaries for Zebrafish Embryo in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0199d26c-1b99-4278-b92a-816b7bc3e663/4DNFIDETT24C.bw	4DN	GRCz11	insulation score-diamond	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIDETT24C	DNESV5PGOUC	insulation score-diamond for Zebrafish Embryo in situ Hi-C MboI	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6c518065-7e06-47ea-9218-5b79857a7ad8/4DNFI427O6O1.bw	4DN	GRCz11	compartments	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFI427O6O1	DNESV5PGOUC	compartments for Zebrafish Embryo in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f94b847d-1458-44b1-98fd-24ea2397a876/4DNFIK36LY3B.bed.gz	4DN	GRCz11	boundaries	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIK36LY3B	DNES4G1HPQC	boundaries for Zebrafish Embryo in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/380adc26-c5f7-4aea-97e1-4cb6a8d93424/4DNFIPG6ZIGU.bw	4DN	GRCz11	insulation score-diamond	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIPG6ZIGU	DNES4G1HPQC	insulation score-diamond for Zebrafish Embryo in situ Hi-C MboI	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/af7600ec-a99a-44f7-814d-ed4a6ed3264b/4DNFIPYCL2PF.bw	4DN	GRCz11	compartments	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIPYCL2PF	DNES4G1HPQC	compartments for Zebrafish Embryo in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/058b9530-5eff-4e35-92f1-eb8cb0454012/4DNFI5WSZR3Z.bed.gz	4DN	GRCz11	boundaries	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFI5WSZR3Z	DNESVZFWQZX	boundaries for Zebrafish Embryo in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8599b751-0d1d-4f65-920b-515e6f6f51a5/4DNFILW9ZOOY.bw	4DN	GRCz11	insulation score-diamond	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFILW9ZOOY	DNESVZFWQZX	insulation score-diamond for Zebrafish Embryo in situ Hi-C MboI	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/dc4fcd45-c6fa-4bf6-97d9-a02659140f32/4DNFI7AJMDJ9.bw	4DN	GRCz11	compartments	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFI7AJMDJ9	DNESVZFWQZX	compartments for Zebrafish Embryo in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d5b13d3e-7c3a-4ffe-86bb-714ec4088d01/4DNFISXFQNED.bed.gz	4DN	GRCz11	boundaries	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFISXFQNED	DNESWMLWNGZ	boundaries for Zebrafish Embryo in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/04fe1f03-1afa-425e-9c06-de5794c17ed9/4DNFIRG9DJQH.bw	4DN	GRCz11	insulation score-diamond	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIRG9DJQH	DNESWMLWNGZ	insulation score-diamond for Zebrafish Embryo in situ Hi-C MboI	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/bc550c3a-1318-46d9-a1a1-e6011a4dcdd2/4DNFI75F2U4T.bw	4DN	GRCz11	compartments	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFI75F2U4T	DNESWMLWNGZ	compartments for Zebrafish Embryo in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1a961445-da6e-4bca-83ea-5aa6eaf3cdad/4DNFI3JL1L3S.bed.gz	4DN	GRCz11	boundaries	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFI3JL1L3S	DNESI8KI62W	boundaries for Zebrafish Embryo in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7f728442-664d-41cd-8a2c-b56163416bb7/4DNFIOOGVPZ2.bw	4DN	GRCz11	insulation score-diamond	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIOOGVPZ2	DNESI8KI62W	insulation score-diamond for Zebrafish Embryo in situ Hi-C MboI	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a2a42b37-c2f5-408c-a646-c6b6956ba443/4DNFILPBNB2R.bw	4DN	GRCz11	compartments	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFILPBNB2R	DNESI8KI62W	compartments for Zebrafish Embryo in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/82033977-e72b-446b-a737-10c611c5e703/4DNFIN9ZOANC.bed.gz	4DN	GRCz11	boundaries	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIN9ZOANC	DNES9YQ1GX9	boundaries for Zebrafish Embryo in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/42eabbb3-33aa-4b9c-bd78-e49ee9c01de3/4DNFIRQHG3KZ.bw	4DN	GRCz11	insulation score-diamond	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIRQHG3KZ	DNES9YQ1GX9	insulation score-diamond for Zebrafish Embryo in situ Hi-C MboI	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3c886ccb-30da-42bc-a8c3-776bb205d097/4DNFI2TYQK5H.bw	4DN	GRCz11	compartments	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFI2TYQK5H	DNES9YQ1GX9	compartments for Zebrafish Embryo in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6d85981a-db91-4cc3-bd8c-0e0cfed7b051/4DNFIWOZ77WG.bed.gz	4DN	GRCz11	boundaries	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIWOZ77WG	DNESTJOLVFJ	boundaries for Zebrafish Embryo in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/008e0a0d-9b39-4184-a6a1-b36fd589e578/4DNFI6ET9QXC.bw	4DN	GRCz11	insulation score-diamond	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFI6ET9QXC	DNESTJOLVFJ	insulation score-diamond for Zebrafish Embryo in situ Hi-C MboI	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ca58f017-08db-4910-aa1c-0f64a361b87b/4DNFIR6B71CB.bw	4DN	GRCz11	compartments	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIR6B71CB	DNESTJOLVFJ	compartments for Zebrafish Embryo in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/494fb2ed-8888-49f7-8517-eb7317da848f/4DNFI155QEFE.bed.gz	4DN	GRCz11	boundaries	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFI155QEFE	DNESG4K7J7U	boundaries for Zebrafish Embryo in situ Hi-C MboI	rgb(0, 150, 0)	rgb(0, 150, 0)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6ef78fe9-1234-4dff-94bb-7e694fbbc9b2/4DNFIXEBLYW7.bw	4DN	GRCz11	insulation score-diamond	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIXEBLYW7	DNESG4K7J7U	insulation score-diamond for Zebrafish Embryo in situ Hi-C MboI	rgb(3,127,252)	rgb(11,177,250)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/084b1485-8766-4bb4-a74d-06bacf592cde/4DNFI5CH6P7G.bw	4DN	GRCz11	compartments	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFI5CH6P7G	DNESG4K7J7U	compartments for Zebrafish Embryo in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/cda8fa1c-c7b3-48ce-94ac-cbf1ebb73a90/4DNFIPO4TE2G.bw	4DN	GRCz11	compartments	Zebrafish Embryo	MboI	merged replicates	Hi-C on Zebrafish embryos		Brad Cairns, UTAH	Wike CL et al. (2021) PMID:34006569	4DNFIPO4TE2G	DNESGHJXSRM	compartments for Zebrafish Embryo in situ Hi-C MboI	rgb(249,88,148)	rgb(213,144,182)
