NC_010443.5	chr1    CM000812.5	1
NC_010452.4	chr10   CM000821.5	10
NC_010453.5	chr11	CM000822.5	11
NC_010454.4	chr12	CM000823.5	12
NC_010455.5	chr13	CM000824.5	13
NC_010456.5	chr14	CM000825.5	14
NC_010457.5	chr15	CM000826.5	15
NC_010458.4	chr16	CM000827.5	16
NC_010459.5	chr17	CM000828.5	17
NC_010460.4	chr18	CM000829.5	18
NC_010444.4	chr2	CM000813.5	2
NC_010445.4	chr3	CM000814.5	3
NC_010446.5	chr4	CM000815.5	4
NC_010447.5	chr5	CM000816.5	5
NC_010448.4	chr6	CM000817.5  6
NC_010449.5	chr7	CM000818.5	7
NC_010450.4	chr8	CM000819.5	8
NC_010451.4	chr9	CM000820.5	9
NC_000845.1	chrM	AF034253.1	MT
NC_010461.5	chrX	CM000830.5	X
NC_010462.3	chrY	LT634572.1	Y
