1	chr1	Chr1	chr1.fa	CM000663.1	NC_000001.10
2	chr2	Chr2	chr2.fa	CM000664.1	NC_000002.11
3	chr3	Chr3	chr3.fa	CM000665.1	NC_000003.11
4	chr4	Chr4	chr4.fa	CM000666.1	NC_000004.11
5	chr5	Chr5	chr5.fa	CM000667.1	NC_000005.9
6	chr6	Chr6	chr6.fa	CM000668.1	NC_000006.11
7	chr7	Chr7	chr7.fa	CM000669.1	NC_000007.13
8	chr8	Chr8	chr8.fa	CM000670.1	NC_000008.10
9	chr9	Chr9	chr9.fa	CM000671.1	NC_000009.11
10	chr10	Chr10	chr10.fa	CM000672.1	NC_000010.10
11	chr11	Chr11	chr11.fa	CM000673.1	NC_000011.9
12	chr12	Chr12	chr12.fa	CM000674.1	NC_000012.11
13	chr13	Chr13	chr13.fa	CM000675.1	NC_000013.10
14	chr14	Chr14	chr14.fa	CM000676.1	NC_000014.8
15	chr15	Chr15	chr15.fa	CM000677.1	NC_000015.9
16	chr16	Chr16	chr16.fa	CM000678.1	NC_000016.9
17	chr17	Chr17	chr17.fa	CM000679.1	NC_000017.10
18	chr18	Chr18	chr18.fa	CM000680.1	NC_000018.9
19	chr19	Chr19	chr19.fa	CM000681.1	NC_000019.9
20	chr20	Chr20	chr20.fa	CM000682.1	NC_000020.10
21	chr21	Chr21	chr21.fa	CM000683.1	NC_000021.8
22	chr22	Chr22	chr22.fa	CM000684.1	NC_000022.10
X	chrX	ChrX	chrX.fa	chr23	Chr23	23	x	CM000685.1	NC_000023.10
Y	chrY	ChrY	chrY.fa	chr24	Chr24	24	y	CM000686.1	NC_000024.9
chrM		NC_001807.4	M
chrMT	MT	J01415.2	NC_012920.1
GL000191.1	chr1_gl000191_random	HSCHR1_RANDOM_CTG5	NT_113878.1
GL000192.1	chr1_gl000192_random	HSCHR1_RANDOM_CTG12	NT_167207.1
GL000193.1	chr4_gl000193_random	HSCHR4_RANDOM_CTG2	NT_113885.1
GL000194.1	chr4_gl000194_random	HSCHR4_RANDOM_CTG3	NT_113888.1
GL000195.1	chr7_gl000195_random	HSCHR7_RANDOM_CTG1	NT_113901.1
GL000196.1	chr8_gl000196_random	HSCHR8_RANDOM_CTG1	NT_113909.1
GL000197.1	chr8_gl000197_random	HSCHR8_RANDOM_CTG4	NT_113907.1
GL000198.1	chr9_gl000198_random	HSCHR9_RANDOM_CTG1	NT_113914.1
GL000199.1	chr9_gl000199_random	HSCHR9_RANDOM_CTG2	NT_113916.2
GL000200.1	chr9_gl000200_random	HSCHR9_RANDOM_CTG4	NT_113915.1
GL000201.1	chr9_gl000201_random	HSCHR9_RANDOM_CTG5	NT_113911.1
GL000202.1	chr11_gl000202_random	HSCHR11_RANDOM_CTG2	NT_113921.2
GL000203.1	chr17_gl000203_random	HSCHR17_RANDOM_CTG1	NT_113941.1
GL000204.1	chr17_gl000204_random	HSCHR17_RANDOM_CTG2	NT_113943.1
GL000205.1	chr17_gl000205_random	HSCHR17_RANDOM_CTG3	NT_113930.1
GL000206.1	chr17_gl000206_random	HSCHR17_RANDOM_CTG4	NT_113945.1
GL000207.1	chr18_gl000207_random	HSCHR18_RANDOM_CTG1	NT_113947.1
GL000208.1	chr19_gl000208_random	HSCHR19_RANDOM_CTG1	NT_113948.1
GL000209.1	chr19_gl000209_random	HSCHR19_RANDOM_CTG2	NT_113949.1
